Attacker,Defender,Location,Victor
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer B,Geomancer Territory,Necromancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Necromancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer A,Geomancer A,Geomancer Territory,Geomancer A
Necromancer B,Geomancer B,Geomancer Territory,Geomancer B
Necromancer A,Geomancer B,Geomancer Territory,Necromancer A
Necromancer A,Geomancer B,Geomancer Territory,Geomancer B
Necromancer B,Geomancer A,Geomancer Territory,Geomancer A
